time	cpu_%	mem_%
783	0.12899	0.94057
784	0.151442	0.940566
785	0.153338	0.940568
786	0.151768	0.940573
787	0.151535	0.940576
788	0.150165	0.940569
789	0.152245	0.940566
790	0.133715	0.940572
791	0.132042	0.940561
792	0.150165	0.940573
793	0.150175	0.940574
794	0.153525	0.940563
795	0.153947	0.940562
796	0.14944	0.940581
797	0.151535	0.940587
798	0.136374	0.940583
799	0.134476	0.940575
800	0.152093	0.940574
801	0.152298	0.940573
802	0.15115	0.940565
803	0.150262	0.940562
804	0.152553	0.940565
805	0.15034	0.940564
806	0.130702	0.940569
807	0.138725	0.940557
808	0.152732	0.940547
809	0.153039	0.940548
810	0.150811	0.94056
811	0.149737	0.940566
812	0.149277	0.940567
813	0.142576	0.940565
814	0.128856	0.940565
815	0.149221	0.940576
816	0.152598	0.940573
817	0.153712	0.940565
818	0.152245	0.940567
819	0.150877	0.940574
821	0.151241	0.94057
822	0.139872	0.940571
823	0.1317	0.940576
824	0.152464	0.940572
825	0.15265	0.940575
826	0.151575	0.940571
827	0.151303	0.940577
828	0.149891	0.940576
829	0.150877	0.940571
830	0.133523	0.940573
831	0.136025	0.940573
832	0.150132	0.940572
833	0.152583	0.940579
834	0.150733	0.940582
835	0.150417	0.940585
836	0.152668	0.940588
837	0.143953	0.940589
838	0.129845	0.940587
839	0.145395	0.940594
840	0.149934	0.940599
841	0.149923	0.940586
842	0.150601	0.940588
843	0.148539	0.940591
844	0.151402	0.940599
845	0.129711	0.940602
846	0.139917	0.940603
847	0.151005	0.940606
848	0.151832	0.940613
849	0.150044	0.940604
850	0.150775	0.940605
851	0.149727	0.940602
852	0.136005	0.940604
853	0.132853	0.940598
854	0.151561	0.940604
855	0.151932	0.940598
856	0.151581	0.940596
857	0.151794	0.940591
858	0.150886	0.940587
859	0.142172	0.94059
860	0.130055	0.94058
861	0.151595	0.94058
862	0.152079	0.94058
863	0.151581	0.940578
864	0.150164	0.940574
865	0.153662	0.940576
866	0.146705	0.940579
867	0.132141	0.940579
868	0.148593	0.940582
869	0.152202	0.940597
870	0.151475	0.940598
871	0.15269	0.940598
872	0.151125	0.940594
873	0.14915	0.940593
874	0.129731	0.940599
875	0.146416	0.94059
876	0.15216	0.940587
877	0.151515	0.940585
878	0.15176	0.940586
879	0.15129	0.940584
880	0.150754	0.940585
881	0.131148	0.940588
882	0.139285	0.940582
883	0.151528	0.940582
884	0.149682	0.940583
885	0.152553	0.940568
886	0.15131	0.940579
887	0.224446	0.94059
887	0.996825	0.837091
889	1	0.647938
890	0.973616	0.34569
891	0.308483	0.135791
892	0.238675	0.0219568
893	0.0253902	0.0204524
894	0.0211574	0.0203984
895	0.0217978	0.0203572
896	0.0209544	0.0203205
897	0.0211618	0.0202874
898	0.0122356	0.020254
899	0.000207426	0.0201878
900	0.00394191	0.0201414
901	0.00311203	0.0201301
902	0.000207469	0.0200932
903	0.0033195	0.0200154
904	0.000207426	0.0199469
905	0.00373444	0.0198887
906	0.0033195	0.0198507
907	0.000414852	0.0198084
908	0.00331881	0.0197552
909	0.00186722	0.0197487
